ordernumber;name;tax;price_EK;active;shippingtime;shippingfree;topseller;keywords;categories
85824;"Buchset ""Lieblings-Rezepte"": Alle 3 Bände zum Vorteilspreis!*";7;35;1;2-3;0;0;Buchset, Rezepte, Nordkurier, 111 Lieblingsrezepte, Bundle, Kochbücher;43
85852;Geburtstagskalender;19;4,95;1;2-3;0;0;Kalender, 2021, Wandkalender, Bilder aus Mecklenburg Vorpommern, Mohnfeld, Fotos;43
85853;"Buchset ""Hexe Wawu"": Band 1 und 2 zum Vorteilspreis!*";7;22;1;2-3;0;0;Katja Bluhm, Stephanie Wunder, Hexe, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;43
85794;Yoga - Einfach beginnen DVD;19;8,99;0;2-3;0;0;Yoga, Sport, Wohlbefinden, Anfänger, Bewegung;43
85815;Silber, sinnlich, sexy DVD;19;9,95;0;2-3;0;0;Älterwerden, Sexualität im Alter, ü50;43
85773;Hexe Wawu Trinkflasche;19;5,95;1;2-3;0;0;Hexe, Trinkflasche, Stephanie Wunder, Katja Bluhm, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;43
85743;Hexe Wawu Finde das Paar;19;7,95;1;2-3;0;0;Hexe, Memory, Kartenspiel, Stephanie Wunder, Katja Bluhm, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;43
85838;Hexe Wawu CD;19;2,95;1;2-3;0;0;Hexe, CD, Stephanie Wunder, Katja Bluhm, Traum, Wawu, Gute Nacht Geschichte, Schlafengehen, Kinderbuch;43
85662;Rezepte Nr. 36: Die besten Hackfleisch-Hits;7;2,95;1;2-3;0;0;Rezepte, Hack, Hackfleisch, Kochen, Nordkurier;17
85857;"Wandkalender 2022 ""Wunderschöner Nordosten""";19;4,95;0;2-3;0;0;Kalender, 2022, Wandkalender, Bilder aus Mecklenburg Vorpommern;43
85855;Charlie Schielauge und das Geheimnis der Totenkopfinsel;7;14,95;1;2-3;0;1;Abenteuer, Kinderbuch, Piratengeschichte, Piratenabenteuer, Schatzsuche, Schiffsreise, Kapt'n Schielauge;22
85856;1945. Zwischen Krieg und Frieden, Sechster Teil: Erinnerungen aus Mecklenburg, Vorpommern und der Uckermark;7;14,95;1;2-3;0;0;Frank Wilhelm, Birgit Langkabel, Zeitzeugen, Kriegsende, 1945, Trümmerfrauen;26
85858;1945. Zwischen Krieg und Frieden - Bildband Neubrandenburg;7;24,95;1;2-3;0;0;Frank Wilhelm, Neubrandenburg, Zeitzeugen, Kriegsende, 1945, Trümmerfrauen, Krieg und Frieden;26
85664;Rezepte Nr. 37: Köstliches für Brunch & Buffet;7;2,95;1;2-3;0;0;Rezepte, Brunch, Buffet, Feste feiern, Kochen, Nordkurier;17
85663;Usedom Magazin 2022;7;4,9;1;2-3;0;0;Usedom, Urlaub, Meer, Insel, Strand, Sonne, Sommer, Familie, Veranstaltungen, Magazin;44
85651;Usedom Karte;7;3;1;2-3;0;0;Usedom, Urlaub, Meer, Insel, Strand, Sonne, Sommer, Familie, Veranstaltungen, Karte;44
85859;"Buchset ""1945"": Alle 6 Bände zum Vorteilspreis!*";7;75;0;2-3;0;0;1945, Krieg, Frieden, Besatzung, Erinnerungen, Mecklenburg-Vorpommern, Uckermark. Prenzlau, Erlebnisberichte, Zeitzeugenberichte;43
85665;Nordkurier Spezial: Wo, wenn nicht hier? Angeln im Nordosten;7;4,95;1;2-3;0;0;Angeln, Nordosten, Wasser, Seen, Angel, Fischen, Fische;44
85666;Nordkurier Spezial Nr. 4: Ackern für die DDR – Die Landwirtschaft im Norden;7;4,95;1;2-3;0;0;Nordosten, LPG, Acker, DDR, Landwirtschaft ;44
85860;Wandkalender für 2023 - Zu Hause im Nordosten;19;9,9;1;2-3;0;0;Kalender, 2023, Wandkalender, Bilder aus Mecklenburg Vorpommern;44
85861;1945. Zwischen Krieg und Frieden, Siebter Teil: Erinnerungen aus Mecklenburg, Vorpommern und der Uckermark;7;14,95;1;2-3;0;0;Frank Wilhelm, Birgit Langkabel, Zeitzeugen, Kriegsende, 1945, Trümmerfrauen;44
85667;Rezepte Nr. 38: Die besten Schnitzel-Hits unserer Leser;7;2,95;1;2-3;0;0;Rezepte, Brunch, Buffet, Feste feiern, Kochen, Nordkurier;17
85669;Nordkurier Spezial Nr. 5: Sternstunden des DDR-Sports – Als unsere Athleten Geschichte schrieben;7;5,95;1;2-3;0;0;Nordosten, DDR, Sport, Erfolge, Athleten;44
85862;"Buchset ""1945. Zwischen Krieg und Frieden"": Alle 7 Bände zum Vorteilspreis! *";7;89;0;2-3;0;0;1945, Krieg, Frieden, Besatzung, Erinnerungen, Mecklenburg-Vorpommern, Uckermark. Prenzlau, Erlebnisberichte, Zeitzeugenberichte;43
85863;Neubrandenburg im Aufbruch Die 1950er- und 1960er- Jahre;7;27,95;0;2-3;0;0;Neubrandenburg, Zeitzeugen, Bildband, Geschichte, Kriegsende, Wiederaufbau;26
